step,train_loss,epoch,lr-SGD
49,,,0.005
49,1.0398085117340088,0,
99,,,0.005
99,0.751447319984436,0,
149,,,0.005
149,1.105309009552002,0,
199,,,0.005
199,0.49302786588668823,0,
249,,,0.005
249,0.5821346640586853,0,
299,,,0.005
299,0.3761637806892395,0,
349,,,0.005
349,1.094091773033142,0,
399,,,0.005
399,0.6520918607711792,0,
449,,,0.005
449,0.745293915271759,0,
499,,,0.005
499,0.6810427308082581,0,
549,,,0.005
549,0.3717491924762726,0,
599,,,0.005
599,0.31564465165138245,0,
649,,,0.005
649,0.28791356086730957,0,
699,,,0.005
699,0.2665014863014221,0,
749,,,0.005
749,0.8122784495353699,0,
799,,,0.005
799,0.5873534679412842,0,
849,,,0.005
849,0.4651050269603729,0,
899,,,0.005
899,0.13965287804603577,0,
949,,,0.005
949,0.6467253565788269,0,
999,,,0.005
999,0.1947612315416336,0,
1049,,,0.005
1049,0.9150965809822083,0,
1099,,,0.005
1099,0.5329175591468811,0,
1149,,,0.005
1149,1.3346933126449585,0,
1199,,,0.005
1199,0.07493862509727478,0,
1249,,,0.005
1249,0.33542269468307495,0,
1299,,,0.005
1299,0.3547362685203552,0,
1349,,,0.005
1349,0.3534769117832184,0,
1399,,,0.005
1399,0.32571107149124146,0,
1449,,,0.005
1449,0.21897976100444794,0,
1499,,,0.005
1499,0.3555869162082672,0,
1549,,,0.005
1549,0.0918460413813591,0,
1599,,,0.005
1599,0.38851773738861084,0,
1649,,,0.005
1649,0.2723461985588074,0,
1699,,,0.005
1699,0.3295941948890686,0,
1749,,,0.005
1749,0.29522332549095154,0,
1799,,,0.005
1799,0.6802867650985718,0,
1849,,,0.005
1849,0.8319498300552368,0,
1899,,,0.005
1899,0.18410181999206543,0,
1949,,,0.005
1949,0.26696479320526123,0,
1999,,,0.005
1999,0.19860972464084625,0,
2049,,,0.005
2049,0.8099291324615479,0,
2099,,,0.005
2099,0.8784345984458923,0,
2149,,,0.005
2149,0.30398133397102356,0,
2199,,,0.005
2199,0.8104057312011719,0,
2249,,,0.005
2249,0.5434069037437439,0,
2299,,,0.005
2299,0.5109571814537048,0,
2349,,,0.005
2349,0.5924102067947388,0,
2399,,,0.005
2399,0.14938460290431976,0,
2449,,,0.005
2449,0.2697637677192688,0,
2499,,,0.005
2499,0.9362402558326721,0,
2549,,,0.005
2549,0.6332489848136902,0,
2599,,,0.005
2599,0.2037798911333084,0,
2649,,,0.005
2649,0.7126790881156921,0,
2699,,,0.005
2699,0.6913048624992371,0,
2749,,,0.005
2749,0.3691669702529907,0,
2799,,,0.005
2799,0.30205389857292175,0,
2849,,,0.005
2849,0.571068525314331,0,
2899,,,0.005
2899,0.15118072926998138,0,
2949,,,0.005
2949,0.5497679710388184,0,
2999,,,0.005
2999,0.6494624018669128,0,
3049,,,0.005
3049,0.6603946685791016,0,
3099,,,0.005
3099,0.22937346994876862,0,
3149,,,0.005
3149,0.29804980754852295,0,
3199,,,0.005
3199,0.27860110998153687,0,
3249,,,0.005
3249,0.15290553867816925,0,
3299,,,0.005
3299,0.5048285126686096,0,
3349,,,0.005
3349,0.20121780037879944,0,
3399,,,0.005
3399,0.11402885615825653,0,
3449,,,0.005
3449,0.5206384658813477,0,
3499,,,0.005
3499,0.20593398809432983,0,
3549,,,0.005
3549,0.1603143960237503,0,
3599,,,0.005
3599,0.20290401577949524,0,
3649,,,0.005
3649,0.21500715613365173,0,
3699,,,0.005
3699,0.9905683398246765,0,
3749,,,0.005
3749,0.12979678809642792,0,
3799,,,0.005
3799,0.2540934383869171,1,
3849,,,0.005
3849,0.6327723860740662,1,
3899,,,0.005
3899,0.4829980134963989,1,
3949,,,0.005
3949,0.24417060613632202,1,
3999,,,0.005
3999,0.3788682818412781,1,
4049,,,0.005
4049,0.21912233531475067,1,
4099,,,0.005
4099,0.4242178499698639,1,
4149,,,0.005
4149,0.25924691557884216,1,
4199,,,0.005
4199,0.4875343441963196,1,
4249,,,0.005
4249,0.18687421083450317,1,
4299,,,0.005
4299,0.338975191116333,1,
4349,,,0.005
4349,0.24814346432685852,1,
4399,,,0.005
4399,0.2195340096950531,1,
4449,,,0.005
4449,0.19985099136829376,1,
4499,,,0.005
4499,0.7904037833213806,1,
4549,,,0.005
4549,0.37825748324394226,1,
4599,,,0.005
4599,0.34295204281806946,1,
4649,,,0.005
4649,0.12509971857070923,1,
4699,,,0.005
4699,0.3572585880756378,1,
4749,,,0.005
4749,0.1301456242799759,1,
4799,,,0.005
4799,0.533897340297699,1,
4849,,,0.005
4849,0.18413423001766205,1,
4899,,,0.005
4899,0.8164621591567993,1,
4949,,,0.005
4949,0.04755488783121109,1,
4999,,,0.005
4999,0.34357956051826477,1,
5049,,,0.005
5049,0.31513944268226624,1,
5099,,,0.005
5099,0.08624158054590225,1,
5149,,,0.005
5149,0.11493527889251709,1,
5199,,,0.005
5199,0.22349922358989716,1,
5249,,,0.005
5249,0.24984672665596008,1,
5299,,,0.005
5299,0.035203322768211365,1,
5349,,,0.005
5349,0.23731690645217896,1,
5399,,,0.005
5399,0.3084931969642639,1,
5449,,,0.005
5449,0.34134599566459656,1,
5499,,,0.005
5499,0.2963883578777313,1,
5549,,,0.005
5549,0.6647114753723145,1,
5599,,,0.005
5599,0.7237765192985535,1,
